"first_name","last_name","age","nba_experience","most_recent_year","games","starts","minutes","points","two_points_made","two_points_attempted","three_points_made","three_points_attempted","free_throws_made","free_throws_attempted","blocked_shot_attempts","offensive_rebounds","defensive_rebounds","assists","screen_assists","turnovers","steals","deflections","loose_balls_recovered","blocked_shots","personal_fouls","personal_fouls_drawn","offensive_fouls","charges_drawn","technical_fouls","flagrant_fouls","ejections","points_off_turnovers","points_in_paint","second_chance_points","fast_break_points","possessions","estimated_possessions","team_possessions","usage_percentage_wa","true_shooting_percentage_wa","three_point_attempt_rate_wa","free_throw_rate_wa","offensive_rebounding_percentage_wa","defensive_rebounding_percentage_wa","total_rebounding_percentage_wa","assist_percentage_wa","steal_percentage_wa","block_percentage_wa","turnover_percentage_wa","internal_box_plus_minus_wa","birth_date","nba_probability","scorer_score","scorer_percentile","shot_blocker_score","shot_blocker_percentile","rebounder_score","rebounder_percentile","assist_to_turnover_ratio","facilitator_score","facilitator_percentile","three_point_percentage","floor_spacer_score","floor_spacer_percentile","two_point_percentage","free_throw_percentage","post_scorer_score","post_scorer_percentile","scorer_tier","post_scorer_tier","rebounder_tier","facilitator_tier","shot_blocker_tier","floor_spacer_tier","steal_pctile","block_pctile","defense_score","defense_percentile"
"Zanotti","Abalde",27,FALSE,2021,12,5,29.58,11.42,3.25,6,1.17,3.92,1.42,1.83,0.42,0.5,2.42,1.67,0,1.67,1.08,0,0,0.08,2.5,2.25,0,0,0,0,0,0,0,0,0,54.54,54.54,69.43,20.12,0.53,0.39,0.18,1.03,9.01,6.24,9.88,1.88,0.12,13.75,-4.76,1994-05-14,0.182094226245004,1.14872978371817,54.6,0.8341808360402,64.9,0.0989634621086722,56.7,1,1.02487709005104,66.7,0.298469387755102,0.555344627108112,52.8,0.541666666666667,0.775956284153005,1.25144157880585,68.5,"Above Average","Above Average","Above Average","Above Average","Above Average","Above Average",0.52445652173913,0.311141304347826,0.417798913043478,33.7
"Vezenkov","Abdul-Wahad",21,FALSE,2021,17,4,3.37,0.29,0.12,0.24,0,0.24,0.06,0.18,0.12,0.24,0.29,0.12,0,0.12,0.18,0,0,0,0.65,0.12,0,0,0,0,0,0,0,0,0,6.09,6.09,80.92,9.42,0.27,0.5,0.38,10.08,11.95,11.05,6.56,2.86,0,17.67,-4.35,2000-09-06,0.0259282889979809,-9.26962035704609,4,-4.036178813299,6.5,-3.72961027573736,7.6,1,-2.03852290497674,13.5,0,-7.13139245388206,4,0.5,0.333333333333333,-3.39033215787081,5.7,"Poor","Poor","Poor","Poor","Poor","Poor",0.861413043478261,0,0.43070652173913,36
"Sead","Abdur-Rahim",24,FALSE,2021,18,3,10.8,2.89,0.89,2,0,0.06,1.11,1.72,0.17,1.06,1.61,0.39,0,0.72,0.22,0,0,0.89,1.83,1.72,0,0,0,0,0,0,0,0,0,18.86,18.86,93.6,16.6,0.51,0.03,0.84,14.33,20.41,17.64,7.11,0.87,8.32,20.43,-1.36,1997-02-14,0.20996973899438,-2.3115434157264,18.9,1.93371576904473,79.8,-0.617795754075816,45.2,0.541666666666667,-2.31128545260832,11.2,0,-1.95428164528491,17.7,0.445,0.645348837209302,-1.55812153889791,15.1,"Poor","Poor","Below Average","Poor","Good","Poor",0.161005434782609,0.985054347826087,0.573029891304348,63.1
"Markel","Abrines",23,FALSE,2021,8,3,13.34,4.88,1.38,3,0.38,1,1,1.25,0.5,0.75,0.88,0.75,0,1.12,0.38,0,0,0,1.88,1.38,0,0,0,0,0,0,0,0,0,22.35,22.35,211.53,22.04,0.54,0.25,0.31,9.24,9.2,8.85,13.13,1.56,0,19.82,-5.24,1998-01-26,0.0968894637991992,-0.864888645519282,28.9,-0.979581247917261,32.2,-2.17775057692732,22.1,0.669642857142857,-1.67015834523094,16.8,0.38,-0.632171733323847,32.9,0.46,0.8,-0.889897094473175,24.6,"Below Average","Poor","Poor","Poor","Below Average","Below Average",0.375679347826087,0,0.187839673913043,14.4
"Cissoko","Abromaitis",29,FALSE,2019,65,10,13.71,5.22,2.08,3.15,0.05,0.14,0.92,1.38,0.14,1.54,1.75,0.31,0,0.66,0.48,0,0,1.12,1.95,1.28,0,0,0,0,0,0,0,0,0,24.32,24.32,150.08,16.25,0.66,0.04,0.42,14.81,17.87,16.36,5.16,2.18,8.61,14.63,3.4,1992-08-15,0.357428895787311,2.28152559304419,72.6,3.016904969815,89.1,0.153178353921735,57.7,0.46969696969697,-1.06352304509454,23.2,0.357142857142857,1.3702245917839,66.9,0.66031746031746,0.666666666666667,1.5744910279657,75.4,"Good","Good","Above Average","Poor","Great","Above Average",0.652853260869565,0.987092391304348,0.819972826086957,94.4
"Morse","Acie",20,TRUE,2020,42,24,17.13,6.9,1.52,3.14,0.74,2.1,1.64,2.17,0.12,0.4,1.55,2.57,0,1.69,0.36,0,0,0.12,2.57,2.24,0,0,0,0,0,0,0,0,0,29.81,29.81,106.08,22.2,0.54,0.42,0.4,2.92,13.21,8.3,29.29,1.58,0.53,20.53,-0.53,2001-05-01,0.230887782282155,-0.164991823816489,36.2,1.14465259696883,69.4,-1.4578676761967,32.4,1.5207100591716,0.682484779813164,59.3,0.352380952380952,0.00727453488433339,42,0.484076433121019,0.755760368663594,-0.00209865741694648,39,"Below Average","Below Average","Below Average","Above Average","Above Average","Below Average",0.385869565217391,0.408967391304348,0.39741847826087,31
"Patricio","Adam",29,FALSE,2017,10,4,14.38,5.9,1.1,1.8,0.9,2,1,1.2,0.2,0.8,2.2,0.2,0,2,0.4,0,0,0.4,3,1.3,0,0,0,0,0,0,0,0,0,24.87,24.87,454.55,22.35,0.68,0.53,0.37,8.12,19.5,12.83,4.43,1.85,2.9,30.85,-4.8,1992-12-16,0.148002689863299,3.02190272795068,81.1,3.16885260320675,90.1,0.0702156834898288,56.4,0.1,-5.01484044562336,3.8,0.45,3.3114541813252,89.6,0.611111111111111,0.833333333333333,1.3592812004257,70.6,"Good","Good","Above Average","Poor","Great","Great",0.512228260869565,0.823369565217391,0.667798913043478,78.1
"Devecchi","Adams",20,FALSE,2021,12,0,9.95,2.75,0.5,1.58,0.5,1.5,0.25,0.5,0.08,0.33,0.5,0.33,0,0.33,0.25,0,0,0,1.08,0.58,0,0,0,0,0,0,0,0,0,17.47,17.47,81.94,17.59,0.42,0.49,0.16,5.14,6.27,6.35,7.22,1.28,0,9.17,-4.17,2001-01-17,0.0772079924734388,-4.63150848351246,10,-2.96761218475091,12.2,-3.27993405475919,11.1,1,0.243007351664942,49.4,0.333333333333333,-3.00757838155303,11.6,0.316455696202532,0.5,-5.03279199801229,2.6,"Poor","Poor","Poor","Below Average","Poor","Poor",0.270380434782609,0,0.135190217391304,12.1
"Daryl","Adel",31,TRUE,2016,61,50,21.84,12.98,4.36,7.79,0.82,1.93,1.8,2.36,0.31,1.82,3.51,0.75,0,1.1,0.9,0,0,0.75,1.93,2.3,0,0,0,0,0,0,0,0,0,37.72,37.72,71.92,27.13,0.6,0.19,0.26,11.59,21.77,17.68,8.95,2.3,3.87,9.47,3.92,1990-04-20,0.628082791222237,3.45593322430857,84.7,1.70440294730402,76.9,3.38980128434651,88.7,0.681818181818182,0.754034829284615,61.2,0.424870466321244,1.44365140774655,68,0.559691912708601,0.76271186440678,1.69431605441963,77.6,"Good","Good","Great","Above Average","Good","Above Average",0.705163043478261,0.874320652173913,0.789741847826087,91.4
"Djurisic","Adiguzel",33,TRUE,2018,69,45,20.6,8.74,2.39,5.06,0.72,2.25,1.78,2.19,0.3,0.83,2.75,0.94,0,1.35,0.62,0,0,0.39,1.99,1.88,0,0,0,0,0,0,0,0,0,36.98,36.98,165.45,23.23,0.51,0.3,0.28,6.06,18.41,11.17,6.82,1.71,2.3,14.19,-4.07,1988-01-18,0.490250980445553,-0.284614501389101,35,0.624833781965341,61.3,1.01715219986893,67.7,0.696296296296296,-0.0885246378129626,42.1,0.32,-0.675389108868544,31.4,0.472332015810277,0.812785388127854,-0.0480575896983726,37.8,"Below Average","Below Average","Above Average","Below Average","Above Average","Below Average",0.454483695652174,0.766983695652174,0.610733695652174,69
